Agency No.,Agency Name,Agency Address,Agency City,Agency Zip Code,Agency Phone No.,Agency E-mail,Agency Contact,Date,Frequency,Day of Week,Morning Opening Hour,Morning Closing Hour,Afternoon Opening Hour,Afternoon Closing Hour,Comments
392,St. Margaret's Center,10217 Inglewood Avenue,Lennox,90304,310.672.2208,maerlandson@ccharities.org,Mary- Agnes Erlandson,,,Wednesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
392,St. Margaret's Center,10217 Inglewood Avenue,Lennox,90304,310.672.2208,maerlandson@ccharities.org,Mary- Agnes Erlandson,,,Friday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
407,Estelle Van Meter Multipurpose,7600 S. Avalon Boulevard,Los Angeles,90003,323.753.3881,estellevanmeter@gmail.com,Ethel Gorrell,,1st and 3rd,Wednesday,10:30:00 AM,11:30:00 AM,,,
414,Tujunga United Methodist Church,9901 Tujunga Canyon Boulevard,Tujunga,91042,818-352-1481,tumcoffice@gmail.com,Marcie Smith,,,Wednesday,11:00:00 AM,,,1:00:00 PM,
414,Tujunga United Methodist Church,9901 Tujunga Canyon Boulevard,Tujunga,91042,818-352-1481,tumcoffice@gmail.com,Marcie Smith,,,Friday,11:00:00 AM,,,1:00:00 PM,
414,Tujunga United Methodist Church,9901 Tujunga Canyon Boulevard,Tujunga,91042,818-352-1481,tumcoffice@gmail.com,Marcie Smith,,2nd & 4th,Saturday,10:00:00 AM,,,12:00:00 PM,
426,Hurting & Hungry,8107 Loyola Boulevard,Los Angeles,90045,213.268.4820,wsmart50@yahoo.com,William Smart,11/24/2015,8222 S San Pedro St, ,11:00:00 AM,,,1:00:00 PM,
426,Hurting & Hungry,8107 Loyola Boulevard,Los Angeles,90045,213.268.4820,wsmart50@yahoo.com,William Smart,12/1/2015,1177 W 25th Street, ,10:00:00 AM,,,12:00:00 PM,
426,Hurting & Hungry,8107 Loyola Boulevard,Los Angeles,90045,213.268.4820,wsmart50@yahoo.com,William Smart,12/9/2015,9122 S San Pedro Street, ,10:00:00 AM,,,12:00:00 PM,
426,Hurting & Hungry,8107 Loyola Boulevard,Los Angeles,90045,213.268.4820,wsmart50@yahoo.com,William Smart,12/15/2015,8222 S San Pedro Street, ,11:00:00 AM,,,1:00:00 PM,
426,Hurting & Hungry,8107 Loyola Boulevard,Los Angeles,90045,213.268.4820,wsmart50@yahoo.com,William Smart,12/22/2015,7526 S Vermont Ave, ,10:00:00 AM,,,12:00:00 PM,
437,St. Cecilia Catholic Church,4230 S. Normandie Avenue,Los Angeles,90037,(323) 294-6628,parish@stcecilia-la.org,Flora Ogarro,,3rd,Saturday,9:00:00 AM,10:30:00 AM,,,
438,Bethesda Temple Church,4915 Crenshaw Boulevard,Los Angeles,90043,323.299.2591,thevoice4909@att.net,Dorothy Christie,,4th,Saturday,,,1:00:00 PM,3:00:00 PM,
439,Trinity Baptist Church L.A.,2040 W. Jefferson Boulevard,Los Angeles,90018,323-735-0044,cathy.mason@sbcglobal.net,Cathy Cutliff,,,Wednesday,9:30:00 AM,10:45:00 AM,,,
451,Iglesia la Puerta Abierta,5017 E. Olympic Boulevard,Los Angeles,90022,323.261.8397,scf4ministry@att.net,Esther Fernandez,,,Wednesday,,,7:00:00 PM,7:30:00 PM,
470,St. John Vianney Church,1345 Turnbull Canyon Road,Hacienda Heights,91745,626-330-2269 ,carol@sjvhh.org,Richard Noon,,,Saturday,8:30:00 AM,,,12:30:00 PM,
484,Children of the Shepherd,1076 N. El Centro Avenue,Hollywood,90038,323-953-4000,barbara@coshollywood.org,Barbara Vasquez,,3rd,Saturday,11:00:00 AM,,,12:00:00 PM,
494,"Grace Resource Center, Inc.",45134 N. Sierra Hwy.,Lancaster,93534,661.940.5272,poppabaker@yahoo.com,Steve Baker,,,Tuesday,10:00:00 AM,11:00:00 AM,1:00:00 PM,2:00:00 PM,
494,"Grace Resource Center, Inc.",45134 N. Sierra Hwy.,Lancaster,93534,661.940.5272,poppabaker@yahoo.com,Steve Baker,,New Member Oreintation,Wednesday,,,1:00:00 PM,2:00:00 PM,
494,"Grace Resource Center, Inc.",45134 N. Sierra Hwy.,Lancaster,93534,661.940.5272,poppabaker@yahoo.com,Steve Baker,,SPANISH ,Wednesday,10:00:00 AM,11:00:00 AM,,,
494,"Grace Resource Center, Inc.",45134 N. Sierra Hwy.,Lancaster,93534,661.940.5272,poppabaker@yahoo.com,Steve Baker,,,Thursday,10:00:00 AM,11:00:00 AM,1:00:00 PM,2:00:00 PM,
500,Testimonial Community Love Ctr,5721 S. Western Avenue,Los Angeles,90062,323-291-6753 ,wspangler@testimonialclc.org,Wyneima Spangler,,,Thursday,8:30:00 AM,10:30:00 AM,,,
507,Cornerstone Christian Ministry,11449 Sproule Avenue,Pacoima,91331,818.993.2988,cornerstonechristianministry@gmail.com ,Roxella Hudson,,,Thursday,9:00:00 AM,10:00:00 AM,,,
513,Los Angeles Central City S.D.A. Church,650 W. 21st Street,Los Angeles,90007,(213) 749-9646,amabelfrancisco@roadrunner.com,Amabel Francisco ,,3rd,Tuesday,,,12:00:00 PM,2:00:00 PM,
536,Christ the Good Shepherd Episcopal,3303 W. Vernon Avenue,Los Angeles,90008,323-295-4139,cgshepherd4041@sbcglobal.net,Shirley Flucus,,4th,Friday,10:00:00 AM,,,1:00:00 PM,
537,St. Vincent de Paul Church,621 W. Adams Boulevard,Los Angeles,90007,213-749-8950,stvincent2@juno.com ,Anthony Wiedemer,,,Thursday,8:00:00 AM,11:00:00 AM,,,
547,Our Lady of Guadalupe Church,4509 Mercury Avenue,Los Angeles,90032,323.225.4201,35junie@gmail.com,Peter Hernandez,12/3/2015,,Thursday,8:00:00 AM,9:00:00 AM,,,
547,Our Lady of Guadalupe Church,4509 Mercury Avenue,Los Angeles,90032,323.225.4201,35junie@gmail.com,Peter Hernandez,12/17/2015,,Thursday,8:00:00 AM,9:00:00 AM,,,
547,Our Lady of Guadalupe Church,4509 Mercury Avenue,Los Angeles,90032,323.225.4201,35junie@gmail.com,Peter Hernandez,12/31/2015,,Thursday,8:00:00 AM,9:00:00 AM,,,
547,Our Lady of Guadalupe Church,4509 Mercury Avenue,Los Angeles,90032,323.225.4201,35junie@gmail.com,Peter Hernandez,,,Monday,7:30:00 AM,8:30:00 AM,,,When Available
547,Our Lady of Guadalupe Church,4509 Mercury Avenue,Los Angeles,90032,323.225.4201,35junie@gmail.com,Peter Hernandez,,,Wednesday,7:30:00 AM,8:30:00 AM,,,When Available
553,Holy Family Giving Bank,1524 Fremont Avenue,South Pasadena,91030,626.403.6140,"marlenemoore@holyfamily.org, ClueSue@holyfamily.org",Carrie-Ann Lue Sue,,,Monday,9:00:00 AM,10:45:00 AM,,,
554,Redeemer Lutheran Outreach,20025 Chase Street,Winnetka,91306,818-341-1629,church@our-redeemer.org,Pam Pires,,,Wednesday,10:00:00 AM,12:00:00 PM,1:00:00 PM,2:30:00 PM,
554,Redeemer Lutheran Outreach,20025 Chase Street,Winnetka,91306,818-341-1629,church@our-redeemer.org,Pam Pires,,,Thursday,10:00:00 AM,12:00:00 PM,1:00:00 PM,2:30:00 PM,
554,Redeemer Lutheran Outreach,20025 Chase Street,Winnetka,91306,818-341-1629,church@our-redeemer.org,Pam Pires,,,Friday,10:00:00 AM,12:00:00 PM,1:00:00 PM,2:30:00 PM,
562,Central Filipino S.D.A. Church,777 Colorado Boulevard,Los Angeles,90041,323-255-7718,centralfilipino@juno.com,Jeremias Salvador,,3rd,Tuesday,9:00:00 AM,,,12:00:00 PM,
570,St. Catherine Laboure Catholic,3846 Redondo Beach Boulevard,Torrance,90504,310-329-0993,mariela515@aol.com,Mariela Amaya,,Last,Saturday,11:00:00 AM,,,1:00:00 PM,
578,Guadalupe Food Program,4018 East Hammel Street,Los Angeles,90063,323.261.8051,rosalva.castro@lausd.net,Rosalva Castro,,2nd & 4th,Wednesday,7:00:00 AM,9:00:00 AM,,,
584,First Unitarian Church-Hope Net,2936 W. 8th Street,Los Angeles,90005,213-389-1356,rochelle@uula.org,Rochelle McAdam,,,Saturday,8:00:00 AM,10:00:00 AM,,,
586,City of Commerce Community Center,2555 Commerce Way,Commerce,90040,323 887-4460,eds@ci.commerce.ca.us,Eduardo Saucedo,,3rd,Thursday,10:30:00 AM,,,1:00:00 PM,
593,Good News Prayer Center,1722 East Firestone Boulevard,Los Angeles,90001,323.753.0117,allendalehawkins@yahoo.com,Allen Hawkins,,3rd,Saturday,10:00:00 AM,12:00:00 PM,,,
601,Belvue Presbyterian Church,675 E. 118th Street,Los Angeles,90059,323-757-9188,jeni414@sbcglobal.net,Margaret Reed,12/12/2015,,Thursday,10:00:00 AM,11:00:00 AM,,,
608,First Bilingual Baptist Church,9133 Mines Avenue,Pico Rivera,90660,562-658-5907,Micaleaegarcia15@aol.com,Mica Garcia,,4th ,Thursday,,,,12:00:00 PM,EFAP Distribution
608,First Bilingual Baptist Church,9133 Mines Avenue,Pico Rivera,90660,562-658-5907,Micaleaegarcia15@aol.com,Mica Garcia,,,Thursday,8:00:00 AM,12:00:00 PM,,,Produce Only
619,St. Brigid Catholic Church,5214 S. Western Avenue,Los Angeles,90062,323-292-0781,stbrigidchurch@sbcglobal.net,Clara Davidson,,3rd,Friday,9:30:00 AM,11:00:00 AM,,,
631,Glendale Filipino S.D.A. Church,310 E. Chestnut Street,Glendale,91205,818.543.0110,johnferolino@charter.net,John Ferolino,,2nd,Wednesday,11:00:00 AM,,,12:00:00 PM,
638,Hope Chapel Foursquare Church,2420 Pacific Coast Highway,Hermosa Beach,90254,310.374.4673,rcorea@hopechapel.org,Roberto Corea,,,Wednesday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
638,Hope Chapel Foursquare Church,2420 Pacific Coast Highway,Hermosa Beach,90254,310.374.4673,rcorea@hopechapel.org,Roberto Corea,,,Friday,9:00:00 AM,12:00:00 PM,1:00:00 PM,4:00:00 PM,
653,Trinity Evangelical Lutheran Church,997 E. Walnut,Pasadena,91106,626.792.1212,kaykfds@netscape.net,Kay Statom,,,Thursday,11:00:00 AM,,,1:00:00 AM,
658,St. Joseph Catholic Church,11901 Acacia Ave.,Hawthorne,90250,310.679.1139,marorapo@aol.com,Rosa Morillo,,2nd,Sunday,9:00:00 AM,11:00:00 AM,,,
659,Presentation of Mary Catholic,6406 Parmelee Avenue,Los Angeles,90001,323.585.0570,presentationofmary@att.net,Dulce Pabon,,3rd,Saturday,7:30:00 AM,8:30:00 AM,,,
661,Imani Unidos A.I.D.S. Project,1713 W. 108th Street,Los Angeles,90047,323.754.8453,2patking@gmail.com,Patricia King,,2nd & 4th,Tuesday,10:00:00 AM,,,1:00:00 PM,
661,Imani Unidos A.I.D.S. Project,1713 W. 108th Street,Los Angeles,90047,323.754.8453,2patking@gmail.com,Patricia King,,2nd & 4th,Wednesday,10:00:00 AM,,,1:00:00 PM,
661,Imani Unidos A.I.D.S. Project,1713 W. 108th Street,Los Angeles,90047,323.754.8453,2patking@gmail.com,Patricia King,,2nd & 4th,Thursday,10:00:00 AM,,,1:00:00 PM,
673,St. John Coptic Orthodox,21329 E. Cienega Avenue,Covina,91724,562 691-0299,kkirolos@hotmail.com,Karl Kirolos,,2nd & 4th,Thursday,,,5:00:00 PM,7:00:00 PM,
675,Central Spanish S.D.A. Church,1366 S. Alvarado Street,Los Angeles,90006,818-649-0893,sdamadeline@aol.com,Madeleine Martin,,4th,Saturday,,,5:00:00 PM,6:00:00 PM,
682,JFS/SOVA Community Food & Resource Program,16439 Vanowen Street,Van Nuys,91406,818.988.7682,fsummers@jfsla.org,Fred Summers,,,Sunday,9:00:00 AM,,,12:00:00 PM,
682,JFS/SOVA Community Food & Resource Program,16439 Vanowen Street,Van Nuys,91406,818.988.7682,fsummers@jfsla.org,Fred Summers,,,Monday,10:00:00 AM,,,1:30:00 PM,
682,JFS/SOVA Community Food & Resource Program,16439 Vanowen Street,Van Nuys,91406,818.988.7682,fsummers@jfsla.org,Fred Summers,,,Tuesday,10:00:00 AM,,,1:30:00 PM,
682,JFS/SOVA Community Food & Resource Program,16439 Vanowen Street,Van Nuys,91406,818.988.7682,fsummers@jfsla.org,Fred Summers,,,Thursday,10:00:00 AM,,,1:30:00 PM,
715,White Memorial S.D.A. Church,401 N. State Street,Los Angeles,90033,323 264-2170,tpitt2009@gmail.com,Thelma Pitt,,1st & 3rd,Tuesday,10:00:00 AM,,,12:00:00 PM,
717,St. Mary & St. Athanasius Coptic Church,17431 Roscoe Blvd.,Northridge,91325,818-342-4414,samia@socal.rr.com,Samia Hanna,,3rd,Sunday,9:00:00 AM,,,2:00:00 PM,
717,St. Mary & St. Athanasius Coptic Church,17431 Roscoe Blvd.,Northridge,91325,818-342-4414,samia@socal.rr.com,Samia Hanna,,3rd,Tuesday,9:00:00 AM,,,2:00:00 PM,
719,Pilgrim's Hope Baptist Church,7016 S. Compton Avenue,Los Angeles,90001,323.581.7672,phbc7016@att.net,Rose Harris,,2nd,Wednesday,9:00:00 AM,11:00:00 AM,,,
733,Lincoln Avenue Baptist Church,1180 North Lincoln Avenue,Pasadena,91103,626.798.9163,lfontenot7@sbcglobal.net,May Fontenot,,3rd,Wednesday,10:00:00 AM,,,12:00:00 PM,
738,Figueroa Church of Christ,455 W. 57th Street,Los Angeles,90037,323-753-2536,pjthom@sbcglobal.net,Henry S. Payne,,,Tuesday,7:30:00 AM,11:30:00 AM,,,
746,Estrada Courts Community Center,3232 Hunter Street,Los Angeles,90023,323.641.8943,Rosalba.Espinoza@hacla.org,Rosalba Espinoza,,2nd & 4th,Wednesday,8:00:00 AM,10:00:00 AM,,,
747,Christian Association for Social Services,5814 Venice Blvd.,Los Angeles,90019,323-936-9481,ehg21@yahoo.com,Samir Bassily,,1st & 3rd ,Friday,10:00:00 AM,,,1:00:00 PM,
747,Christian Association for Social Services,5814 Venice Blvd.,Los Angeles,90019,323-936-9481,ehg21@yahoo.com,Samir Bassily,,1st & 3rd,Saturday,10:00:00 AM,,,1:00:00 PM,
768,Blessed Sacrament Food Pantry-Hope Net,6657 Sunset Blvd.,Hollywood,90028,323.874.5577,nancity@sprintmail.com,Nancy Stellos,,,Saturday,9:00:00 AM,,,12:00:00 PM,
776,Door of Hope Community Center,1414 South Atlantic Blvd.,Los Angeles,90022,323.262.2777,lgcardenas7@yahoo.com,Becky Lopez,,,Monday,9:00:00 AM,11:00:00 AM,,,
776,Door of Hope Community Center,1414 South Atlantic Blvd.,Los Angeles,90022,323.262.2777,lgcardenas7@yahoo.com,Becky Lopez,,,Thursday,9:00:00 AM,11:00:00 AM,,,
779,Gardena S.D.A. Church,16113 S. Denker Avenue,Gardena,90247,310.324.3992,jamiclevy@gmail.com,Jami Levy,,1st & 3rd,Saturday,,,3:00:00 PM,6:00:00 PM,
793,Childrens Hospital Los Angeles,5000 Sunset Blvd. 7th Floor,Los Angeles,90027,323-361-5981,jramirez@chla.usc.edu,Javier Ramirez,,,Wednesday,10:00:00 AM,11:00:00 AM,,,
796,Hawaiian Gardens Food Bank,21411 Norwalk Blvd.,Hawaiian Gardens,90716,562.860.9097,leticia@immpco.com,Leticia Macias Melisa Halloran,,,Wednesday,,,2:00:00 PM,6:00:00 PM,
796,Hawaiian Gardens Food Bank,21411 Norwalk Blvd.,Hawaiian Gardens,90716,562.860.9097,leticia@immpco.com,Leticia Macias Melisa Halloran,,,Thursday,9:30:00 AM,,,3:30:00 PM,
797,Shekinah Worship Center,42640 10th Street West,Lancaster,93534,661.400.2570,smithprjct@msn.com,Mark Smith,12/19/2015,,Saturday,,,1:30:00 PM,2:30:00 PM,
798,Salvation Army Southeast Comm. Corp,2965 E. Gage Avenue,Huntington Park,90255,323-587-4221,kemberly.rodriguez@usw.salvationarmy.org,Kemberly Rodriguez,,,Thursday,,,1:00:00 PM,3:00:00 PM,
805,"Eliza Shanks Homes, Inc.",13055 Weidner Street,Pacoima,91331,818-896-9304,Thimshaluv28@yahoo.com,Austin Shanks,,By Appointment,Monday,9:00:00 AM,,,5:00:00 PM,
805,"Eliza Shanks Homes, Inc.",13055 Weidner Street,Pacoima,91331,818-896-9304,Thimshaluv28@yahoo.com,Austin Shanks,,By Appointment,Tuesday,9:00:00 AM,,,5:00:00 PM,
805,"Eliza Shanks Homes, Inc.",13055 Weidner Street,Pacoima,91331,818-896-9304,Thimshaluv28@yahoo.com,Austin Shanks,,By Appointment,Wednesday,9:00:00 AM,,,5:00:00 PM,
805,"Eliza Shanks Homes, Inc.",13055 Weidner Street,Pacoima,91331,818-896-9304,Thimshaluv28@yahoo.com,Austin Shanks,,By Appointment,Thursday,9:00:00 AM,,,5:00:00 PM,
805,"Eliza Shanks Homes, Inc.",13055 Weidner Street,Pacoima,91331,818-896-9304,Thimshaluv28@yahoo.com,Austin Shanks,,By Appointment,Friday,,,9:00:00 AM,5:00:00 PM,
805,"Eliza Shanks Homes, Inc.",13055 Weidner Street,Pacoima,91331,818-896-9304,Thimshaluv28@yahoo.com,Austin Shanks,,4th,Friday,9:00:00 AM,,,5:00:00 PM,
817,Wesley United Methodist Church,112 West 52nd Street,Los Angeles,90037,323.298.0727,joma1923@aol.com,Thelma Mayes,,,Thursday,10:30:00 AM,,,12:00:00 PM,
822,East L.A. Bilingual S.D.A. Church,700 Hoefner Avenue,Los Angeles,90022,323.633.4734,,Berta Almaguer,,,Wednesday,,,5:30:00 PM,6:30:00 PM,
822,East L.A. Bilingual S.D.A. Church,700 Hoefner Avenue,Los Angeles,90022,323.633.4734,,Berta Almaguer,,1st & 3rd,Saturday,,,12:00:00 PM,12:45:00 PM,
827,Los Angeles Housing Partnership ,2614 W. 7th Street,Los Angeles,90057,213.629.9172 ,richard@lahousingpartnership.com,Richard Kennemer,,Last,Friday,,,4:00:00 PM,5:00:00 PM,
851,Our Lady of Talpa Church,427 S. Evergreen Ave.,Los Angeles,90033,323.268.7731,mommy2814@gmail.com,Cecilio Ruiz,,3rd,Tuesday,,,1:00:00 PM,3:00:00 PM,
856,Los Angeles First Church of the Nazarene-Hope Net,3401 W. 3rd Street,Los Angeles,90020,213.385.6345,"ksr417@verizon.net, info@la1stnaz.org",Rosa Maria Roman,,,Friday,,,4:00:00 PM,6:00:00 PM,
863,Burbank Temporary Aid Center,1304 W. Burbank Blvd.,Burbank,91506,818-848-2822,estapleton@thebtac.org,Edward Stapleton,,,Monday,9:00:00 AM,12:00:00 PM,1:30:00 PM,5:00:00 PM,
863,Burbank Temporary Aid Center,1304 W. Burbank Blvd.,Burbank,91506,818-848-2822,estapleton@thebtac.org,Edward Stapleton,,,Tuesday,9:00:00 AM,12:00:00 PM,1:30:00 PM,5:00:00 PM,
863,Burbank Temporary Aid Center,1304 W. Burbank Blvd.,Burbank,91506,818-848-2822,estapleton@thebtac.org,Edward Stapleton,,,Wednesday,9:00:00 AM,12:00:00 PM,1:30:00 PM,5:00:00 PM,
863,Burbank Temporary Aid Center,1304 W. Burbank Blvd.,Burbank,91506,818-848-2822,estapleton@thebtac.org,Edward Stapleton,,,Thursday,9:00:00 AM,12:00:00 PM,1:30:00 PM,5:00:00 PM,
863,Burbank Temporary Aid Center,1304 W. Burbank Blvd.,Burbank,91506,818-848-2822,estapleton@thebtac.org,Edward Stapleton,,,Friday,9:00:00 AM,12:00:00 PM,1:30:00 PM,5:00:00 PM,
871,All Saints Conference,3431 Portola Avenue,Los Angeles,90032,323.675.4873,davidgonzalesjr2010@gmail.com,David Gonzales,,2nd & 4th,Friday,,,3:00:00 PM,5:00:00 PM,
874,Loveship Community Outreach,836 E. Avenue I,Lancaster,93535,661.729.4106,dejuanhathorne@yahoo.com,Dejuan Hathorne,,2nd,Saturday,,,2:30:00 PM,4:30:00 PM,
875,Mexican-American Opportunity Foundation,401 N. Garfield Ave,Montebello,90640,323.890.9600,ejimenez@maof.org,Elizabeth Jimenez,,,Thursday,7:30:00 AM,,,12:00:00 PM,
879,Star Christian School,2120 Estrella Avenue,Los Angeles,90007,213-746-6900,starschool@att.net,Elizabeth Fortis,,2nd,Thursday,,,6:30:00 PM,7:30:00 PM,
879,Star Christian School,2120 Estrella Avenue,Los Angeles,90007,213-746-6900,starschool@att.net,Elizabeth Fortis,,4th,Saturday,8:00:00 AM,9:00:00 AM,,,
881,Crenshaw United Methodist Church,3740 Don Felipe Drive,Los Angeles,90008,323.292.0141,office@crenshawumc.com,Karen Green,,3rd,Saturday,10:00:00 AM,,,12:00:00 PM,
890,Shields for Families,11705 Deputy Yamamoto Place,Lynwood,90262,323-242-5000,rvanappelen@shieldsforfamilies.org,Reginald Van Appelen,,,Thursday,10:00:00 AM,,,2:00:00 PM,
894,Immanuel Presbyterian Church-Hope Net,3300 Wilshire Blvd,Los Angeles,90010,213.389.3191 ,hopenet.douglas@sbcglobal.net,Matthias Petersen-Brandt,,,Saturday,9:30:00 AM,11:30:00 AM,,,
899,His Helping Hands,25501 Oak Street,Lomita,90717,310.326.2757,calvaryag@sbcglobal.net,Carol Perello,,2nd & 4th,Thursday,,,6:00:00 PM,7:00:00 PM,
901,Palmdale S.D.A. Church,1758 East Avenue R,Palmdale,93550,661.947.8496,dryrun9106@sbcglobal.net,Tracy Durant,,1st & 3rd,Wednesday,10:00:00 AM,,,12:00:00 PM,
903,Catholic Charities- Brownson House,1307 Warren Street,Los Angeles,90033,(213) 251-3514,rramirez@ccharities.org,Roberto Ramirez,,,Monday,9:00:00 AM,,,1:00:00 PM,
903,Catholic Charities- Brownson House,1307 Warren Street,Los Angeles,90033,(213) 251-3514,rramirez@ccharities.org,Roberto Ramirez,,,Tuesday,9:00:00 AM,,,1:00:00 PM,
903,Catholic Charities- Brownson House,1307 Warren Street,Los Angeles,90033,(213) 251-3514,rramirez@ccharities.org,Roberto Ramirez,,,Wednesday,9:00:00 AM,,,1:00:00 PM,
903,Catholic Charities- Brownson House,1307 Warren Street,Los Angeles,90033,(213) 251-3514,rramirez@ccharities.org,Roberto Ramirez,,,Thursday,9:00:00 AM,,,1:00:00 PM,
903,Catholic Charities- Brownson House,1307 Warren Street,Los Angeles,90033,(213) 251-3514,rramirez@ccharities.org,Roberto Ramirez,,,Friday,9:00:00 AM,,,1:00:00 PM,
905,San Miguel Church,2214 E. 108th Street,Los Angeles,90059,323-569-5951,sanmiguel-church@hotmail.com,Maria Carmen Garcia,,,Saturday,8:00:00 AM,9:30:00 AM,,,EFAP Distribution the 3rd Saturday
912,Hope International Bible Fellowship,4903 Fountain Avenue,Los Angeles,90029,323.663.9394,hopeibf@sbcglobal.net,Pastor Ed Carey,,2nd ,Saturday,9:00:00 AM,10:00:00 AM,,,
940,Living Truth Christian Fellowship,5873 S. Normandie Avenue,Los Angeles,90044,323.290.3909,jerrycoleman2082@sbcglobal.net,Margaret Coleman,,3rd & 4th,Tuesday,11:30:00 AM,,,1:30:00 PM,
948,Baldwin Park Bilingual S.D.A.,13965 East Ramona Parkway,Baldwin Park,91706,626 338-4828,hnsias@hotmail.com,Noemi Sias,,,Wednesday,,,6:30:00 PM,7:30:00 PM,
975,First New Christian Fellowship,1555 W. 108th Street,Los Angeles,90047,323.756.2541,njohnson@1stnewchristian.org,Deacon James Allen,,,Thursday,9:00:00 AM,11:00:00 AM,,,
986,San Pedro Temple Corps,138 S. Bandini Street,San Pedro,90731,310-832-7228,araceli.de.leon@usw.salvationarmy.org,Araceli De Leon,,,Friday,9:00:00 AM,12:00:00 PM,2:00:00 PM,3:00:00 PM,
994,"Ananda Marga of L.A., Inc.",1245 S. Norton Avenue,Los Angeles,90019,818.414.7737,mukta10@gmail.com,Mauri De Oliviera,,,Thursday,9:30:00 AM,10:30:00 AM,,,
1017,Iglesia Pentecostes Roca de Salvacion,122 South Evergreen Avenue,Los Angeles,90033,323.832.5313,rocasalvacion122@yahoo.com,Jesus Nava,,,Sunday,,,1:00:00 PM,2:00:00 PM,
1017,Iglesia Pentecostes Roca de Salvacion,122 South Evergreen Avenue,Los Angeles,90033,323.832.5313,rocasalvacion122@yahoo.com,Jesus Nava,,,Saturday,,,3:00:00 PM,4:00:00 PM,
1038,St. Joseph Conference,1150 W. Holt Avenue,Pomona,91768,909.469.9773,victorcasillasmgt@gmail.com,Victor Casillas,,,Monday,9:00:00 AM,11:00:00 AM,,,
1038,St. Joseph Conference,1150 W. Holt Avenue,Pomona,91768,909.469.9773,victorcasillasmgt@gmail.com,Victor Casillas,,,Wednesday,9:00:00 AM,11:00:00 AM,,,
1038,St. Joseph Conference,1150 W. Holt Avenue,Pomona,91768,909.469.9773,victorcasillasmgt@gmail.com,Victor Casillas,,,Friday,9:00:00 AM,11:00:00 AM,,,
1044,Bethel Unspeakable Joy Christian Church,8724 S. Central Avenue,Los Angeles,90002,323 585-5939,joseph@g12joy.net,Myrna Rochelle,,2nd & 4th,Saturday,8:00:00 AM,10:00:00 AM,,,
1055,Wilshire Presbyterian Church-Hope Net,309 S. Oxford Avenue,Los Angeles,90020,213.387.5387,FayeValdez@aol.com,Faye Valdez,,,Monday,11:00:00 AM,,,12:00:00 PM,
1070,West Adams Church of Christ,4959 W. Adams Boulevard,Los Angeles,90016,323 731-6672,raymondphillip55@yahoo.com,Raymond Phillip,,4th,Friday,10:00:00 AM,11:00:00 AM,,,
1070,West Adams Church of Christ,4959 W. Adams Boulevard,Los Angeles,90016,323 731-6672,raymondphillip55@yahoo.com,Raymond Phillip,,3rd,Saturday,,,12:00:00 PM,2:00:00 PM,
1085,Hollywood Community Housing,5020 W. Santa Monica Boulevard,Hollywood,90029,323.469.0710,kmason@hollywoodhousing.org,Katherine Mason,,,Thursday,,,3:30:00 PM,5:30:00 PM,Closed 11/26 11/28
1085,Hollywood Community Housing,5020 W. Santa Monica Boulevard,Hollywood,90029,323.469.0710,kmason@hollywoodhousing.org,Katherine Mason,,,Friday,11:30:00 AM,,,1:30:00 PM,Closed 11/26 11/28
1106,International Families Association,"1741 Gardena Avenue, Suite E",Glendale,91204,818.770.0779,ifaglendale@gmail.com,Ara Hambardzumyan,,,Monday,,,3:00:00 PM,6:00:00 PM,
1148,Christ Gospel Prayer Center,4228 S. Vermont Avenue,Los Angeles,90037,323.732.1394,christgospel@live.com,Martha Dalton,,,Wednesday,11:00:00 AM,,,1:30:00 PM,
1155,Fuller Theological Seminary,135 North Oakland Avenue,Pasadena,91101,626.584.5433,bethanyfox@fuller.edu,Bethany Fox,,,Wednesday,,,12:00:00 PM,3:00:00 PM,
1165,Cover the Homeless Ministry,4425 S. Central Avenue,Los Angeles,90011,323.931.5468,cvrhomelessmsry@aol.com,Rosie Rios,12/17/2015,,Thursday,12:00:00 PM,,,1:00:00 PM,
1196,Loaves & Fishes-Van Nuys,14640 Keswick,Van Nuys,91405,818-997-0943,barbaus@sbcglobal.net,Barbara Ausburn,,,Monday,10:00:00 AM,,,1:30:00 PM,
1196,Loaves & Fishes-Van Nuys,14640 Keswick,Van Nuys,91405,818-997-0943,barbaus@sbcglobal.net,Barbara Ausburn,,,Wednesday,10:00:00 AM,,,1:30:00 PM,
1196,Loaves & Fishes-Van Nuys,14640 Keswick,Van Nuys,91405,818-997-0943,barbaus@sbcglobal.net,Barbara Ausburn,,,Friday,10:00:00 AM,,,1:30:00 PM,
1197,Loaves & Fishes-Glendale,4322 San Fernando Road,Glendale,91204,818.409.3080,lyoung@ccharities.org,Lora Young,,,Monday,10:00:00 AM,12:00:00 PM,1:15:00 PM,3:30:00 PM,
1197,Loaves & Fishes-Glendale,4322 San Fernando Road,Glendale,91204,818.409.3080,lyoung@ccharities.org,Lora Young,,,Tuesday,10:00:00 AM,12:00:00 PM,1:15:00 PM,3:30:00 PM,
